model,accuracy,precision_macro,recall_macro,f1_macro
SVM,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
LogisticRegression,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
RandomForest,0.9,0.9023569023569024,0.9,0.899749373433584
